date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-01,California,State,Gamma,0.0,0.0,,
2021-01-01,California,State,Mu,0.0,0.0,,
2021-01-01,California,State,Alpha,1.0,1.59,,
2021-01-01,California,State,Total,63.0,100.0,,
2021-01-01,California,State,Other,29.0,46.03,,
2021-01-01,California,State,Beta,0.0,0.0,,
2021-01-01,California,State,Delta,0.0,0.0,,
2021-01-01,California,State,Omicron,1.0,1.59,,
2021-01-01,California,State,Epsilon,32.0,50.79,,
2021-01-01,California,State,Lambda,0.0,0.0,,
2021-01-02,California,State,Lambda,0.0,0.0,,
2021-01-02,California,State,Epsilon,51.0,44.74,,
2021-01-02,California,State,Total,114.0,100.0,,
2021-01-02,California,State,Omicron,2.0,1.75,,
2021-01-02,California,State,Gamma,0.0,0.0,,
2021-01-02,California,State,Mu,0.0,0.0,,
2021-01-02,California,State,Other,54.0,47.37,,
2021-01-02,California,State,Alpha,6.0,5.26,,
2021-01-02,California,State,Beta,0.0,0.0,,
2021-01-02,California,State,Delta,1.0,0.88,,
2021-01-03,California,State,Delta,2.0,0.72,,
2021-01-03,California,State,Gamma,1.0,0.36,,
2021-01-03,California,State,Lambda,0.0,0.0,,
2021-01-03,California,State,Alpha,5.0,1.8,,
2021-01-03,California,State,Mu,0.0,0.0,,
2021-01-03,California,State,Epsilon,126.0,45.32,,
2021-01-03,California,State,Omicron,2.0,0.72,,
2021-01-03,California,State,Other,142.0,51.08,,
2021-01-03,California,State,Beta,0.0,0.0,,
2021-01-03,California,State,Total,278.0,100.0,,
2021-01-04,California,State,Delta,5.0,0.38,,
2021-01-04,California,State,Gamma,0.0,0.0,,
2021-01-04,California,State,Mu,0.0,0.0,,
2021-01-04,California,State,Beta,0.0,0.0,,
2021-01-04,California,State,Alpha,7.0,0.53,,
2021-01-04,California,State,Total,1311.0,100.0,,
2021-01-04,California,State,Other,587.0,44.77,,
2021-01-04,California,State,Epsilon,711.0,54.23,,
2021-01-04,California,State,Omicron,1.0,0.08,,
2021-01-04,California,State,Lambda,0.0,0.0,,
2021-01-05,California,State,Mu,0.0,0.0,,
2021-01-05,California,State,Lambda,0.0,0.0,,
2021-01-05,California,State,Omicron,0.0,0.0,,
2021-01-05,California,State,Alpha,16.0,1.88,,
2021-01-05,California,State,Other,392.0,46.06,,
2021-01-05,California,State,Gamma,0.0,0.0,,
2021-01-05,California,State,Beta,0.0,0.0,,
2021-01-05,California,State,Total,851.0,100.0,,
2021-01-05,California,State,Delta,0.0,0.0,,
2021-01-05,California,State,Epsilon,443.0,52.06,,
2021-01-06,California,State,Gamma,0.0,0.0,,
2021-01-06,California,State,Other,172.0,43.65,,
2021-01-06,California,State,Total,394.0,100.0,,
2021-01-06,California,State,Alpha,3.0,0.76,,
2021-01-06,California,State,Mu,0.0,0.0,,
2021-01-06,California,State,Omicron,2.0,0.51,,
2021-01-06,California,State,Lambda,0.0,0.0,,
2021-01-06,California,State,Epsilon,214.0,54.31,,
2021-01-06,California,State,Delta,3.0,0.76,,
2021-01-06,California,State,Beta,0.0,0.0,,
2021-01-07,California,State,Delta,0.0,0.0,1.57142857142,0.329045767275
2021-01-07,California,State,Other,143.0,43.07,217.0,45.438229135507
2021-01-07,California,State,Omicron,2.0,0.6,1.42857142857,0.299132515704
2021-01-07,California,State,Alpha,15.0,4.52,7.57142857142,1.585402333234
2021-01-07,California,State,Gamma,0.0,0.0,0.14285714285,0.02991325157
2021-01-07,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-07,California,State,Epsilon,172.0,51.81,249.85714285714,52.31827699671
2021-01-07,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-07,California,State,Total,332.0,100.0,477.57142857142,100.0
2021-01-07,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-08,California,State,Alpha,2.0,1.36,7.71428571428,1.575722206011
2021-01-08,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-08,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-08,California,State,Total,147.0,100.0,489.57142857142,100.0
2021-01-08,California,State,Omicron,1.0,0.68,1.42857142857,0.291800408521
2021-01-08,California,State,Other,70.0,47.62,222.85714285714,45.520863729209
2021-01-08,California,State,Epsilon,72.0,48.98,255.57142857142,52.20309308433
2021-01-08,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-08,California,State,Gamma,0.0,0.0,0.14285714285,0.029180040852
2021-01-08,California,State,Delta,2.0,1.36,1.85714285714,0.379340531077
2021-01-09,California,State,Gamma,0.0,0.0,0.14285714285,0.025974025974
2021-01-09,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-09,California,State,Epsilon,307.0,57.17,292.14285714285,53.116883116883
2021-01-09,California,State,Total,537.0,100.0,550.0,100.0
2021-01-09,California,State,Omicron,1.0,0.19,1.28571428571,0.233766233766
